ID,CALL,CN,TYPE
054B4B12,HB-1643,C9,LS 4
054B5222,HB-3451,ZD,Discus 2c
054B5223,HB-3452,ZW,Discus 2c
054B51D7,HB-3376,ZC,ASW-28/18m
054B51DC,HB-3381,ZE,ASW-28/18m
054B5182, HB-3291, W6, Discus 2
054B4978, HB-1233, 88, Std. Cirrus WL
05DDEE1F, HB-1812, S5, Discus b
054B5078, HB-3025, CR, LS 4
05DD9831, D-3188, AW, Ventus b
054B5171, HB-3274, UB, Discus 2
05964302, HB-3305, Z1, Discus 2
054B515D, HB-3254, W7, LS 8
054B51AC, HB-3333, AB, LS 8
054B4BF5, HB-1870, FC, LS 4
053F06F3, D-9820, 9S, Discus 2
05888888, HB-3283, TS, Discus 2
054B5190, HB-3305, Z1, Discus 2
06D00A07, D-3188, AW, Ventus
054B4BD2, HB-1835, MN, LS 4

094B3A32, HB-WBA, DynAero MCR-01
214B291C, HB-POU, Piper PA-18 Suber Cub
094B26BD,HB-ORL,ORL,Piper PA-18 Super Cub
094B4DC9,HB-2338,Super Dimona,Diamond HK-36

