ID,CALL,CN,TYPE
054B4B07,HB-1632,ASK,ASK 21
054B520F,HB-3432,RA,DG-1001S
054B4C3B,HB-1940,RC,ASH 25
054B4E5D,HB-2486,RB,Arcus T
054B4B12,HB-1643,C9,LS 4
054B4B1E,HB-1655,9D,LS 4
054B5222,HB-3451,ZD,Discus 2c
054B5223,HB-3452,ZW,Discus 2c
054B51D7,HB-3376,ZC,ASW-28/18m
054B51DC,HB-3381,ZE,ASW-28/18m
054B50F6,HB-3151,ZA,DG 800S
054B50F7,HB-3152,ZB,DG 800S
094B26BD,HB-ORL,ORL,Piper PA-18 Super Cub
054B4DC9,HB-2338,Super Dimona,Diamond HK-36
054B4D92,HB-2283,XY,ASH 26E
054B4BC9,HB-1826,ZT,Discus b
054B4C6B,HB-1988,I8,LS 7 WL
054B4E3F,HB-2456,TA,LS 10-st
054B5199,HB-3314,VA,LS 8-18
054B4E1A,HB-2419,PE,Discus 2cT
054B4E75,HB-2510,IP,ASH 25 EB 28
054B4D97,HB-2288,VZ,ASH 26E
