ID,CALL,CN,TYPE
054b4b07,HB-1632,ASK,ASK 21
054b520f,HB-3432,RA,DG-1001S
054b4c3b,HB-1940,RC,ASH 25
054b4e5d,HB-2486,RB,Arcus T
054b4b12,HB-1643,C9,LS 4
054b4b1e,HB-1655,9D,LS 4
054b5222,HB-3451,ZD,Discus 2c
054b5223,HB-3452,ZW,Discus 2c
054b51d7,HB-3376,ZC,ASW-28/18m
054b51dc,HB-3381,ZE,ASW-28/18m
054b50f6,HB-3151,ZA,DG 800S
054b50f7,HB-3152,ZB,DG 800S
054b26bd,HB-ORL,Piper,Piper PA-18 Super Cub
054b4dc9,HB-2338,Super Dimona,Diamond HK-36
054b4d92,HB-2283,XY,ASH 26E
054b4bc9,HB-1826,ZT,Discus b
054b4c6b,HB-1988,I8,LS 7 WL
054b4e3f,HB-2456,TA,LS 10-st
054b5199,HB-3314,VA,LS 8-18
054b4e1a,HB-2419,PE,Discus 2cT
054b4e75,HB-2510,IP,ASH 25 EB 28
